Start,End,Open,High,Low,Close,Volume,Market Cap,SMA_5,SMA_7,SMA_20
2012-11-24 00:00:00,2012-11-25 00:00:00,12.4115,12.4115,12.4115,12.4115,0.0,0.0,12.13624,12.018942857142859,11.39215
2012-11-25 00:00:00,2012-11-26 00:00:00,12.4821,12.4821,12.4821,12.4821,0.0,0.0,12.286100000000001,12.1376,11.478855
2012-11-26 00:00:00,2012-11-27 00:00:00,12.2455,12.2455,12.2455,12.2455,0.0,0.0,12.381200000000002,12.201257142857143,11.54618
2012-11-27 00:00:00,2012-11-28 00:00:00,12.2,12.2,12.2,12.2,0.0,0.0,12.33682,12.268,11.61018
2012-11-28 00:00:00,2012-11-29 00:00:00,12.3477,12.3477,12.3477,12.3477,0.0,0.0,12.33736,12.35052857142857,11.681315
2012-11-29 00:00:00,2012-11-30 00:00:00,12.45,12.45,12.45,12.45,0.0,0.0,12.34506,12.354542857142857,11.763065000000001
2012-11-30 00:00:00,2012-12-01 00:00:00,12.565,12.565,12.565,12.565,0.0,0.0,12.36164,12.385971428571427,11.846815000000001
2012-12-01 00:00:00,2012-12-02 00:00:00,12.562,12.562,12.562,12.562,0.0,0.0,12.42494,12.407471428571426,11.931479999999999
2012-12-02 00:00:00,2012-12-03 00:00:00,12.5,12.5,12.5,12.5,0.0,0.0,12.48494,12.410028571428569,12.00608
2012-12-03 00:00:00,2012-12-04 00:00:00,12.679,12.679,12.679,12.679,0.0,0.0,12.5512,12.471957142857141,12.09247
2012-12-04 00:00:00,2012-12-05 00:00:00,13.41,13.41,13.41,13.41,0.0,0.0,12.7432,12.644814285714286,12.21547
2012-12-05 00:00:00,2012-12-06 00:00:00,13.38,13.38,13.38,13.38,0.0,0.0,12.906199999999998,12.792285714285713,12.324584999999999
2012-12-06 00:00:00,2012-12-07 00:00:00,13.299,13.299,13.299,13.299,0.0,0.0,13.0536,12.91357142857143,12.40209
2012-12-07 00:00:00,2012-12-08 00:00:00,13.4999,13.4999,13.4999,13.4999,0.0,0.0,13.25358,13.047128571428573,12.487639999999999
2012-12-08 00:00:00,2012-12-09 00:00:00,13.4201,13.4201,13.4201,13.4201,0.0,0.0,13.4018,13.169714285714283,12.57607
2012-12-09 00:00:00,2012-12-10 00:00:00,13.388,13.388,13.388,13.388,0.0,0.0,13.3974,13.296571428571427,12.655475
2012-12-10 00:00:00,2012-12-11 00:00:00,13.4334,13.4334,13.4334,13.4334,0.0,0.0,13.408080000000002,13.40434285714286,12.740505
2012-12-11 00:00:00,2012-12-12 00:00:00,13.557,13.557,13.557,13.557,0.0,0.0,13.45968,13.425342857142855,12.829855
2012-12-12 00:00:00,2012-12-13 00:00:00,13.6989,13.6989,13.6989,13.6989,0.0,0.0,13.49948,13.4709,12.893705
2012-12-13 00:00:00,2012-12-14 00:00:00,13.7001,13.7001,13.7001,13.7001,0.0,0.0,13.55548,13.528199999999998,12.961459999999999
2012-12-14 00:00:00,2012-12-15 00:00:00,13.6,13.6,13.6,13.6,0.0,0.0,13.59788,13.5425,13.020884999999998
2012-12-15 00:00:00,2012-12-16 00:00:00,13.4901,13.4901,13.4901,13.4901,0.0,0.0,13.609219999999999,13.5525,13.071285
2012-12-16 00:00:00,2012-12-17 00:00:00,13.3,13.3,13.3,13.3,0.0,0.0,13.557820000000001,13.539928571428572,13.124010000000002
2012-12-17 00:00:00,2012-12-18 00:00:00,13.2501,13.2501,13.2501,13.2501,0.0,0.0,13.46806,13.513742857142857,13.176515
